"Marca temporal","¿Con que frecuencia vas a la playa?","¿En dónde les gustaría tomar el camión para ir a la playa?
"2026/03/09 3:10:52 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am","15:00 pm","Si"
"2026/03/09 3:11:06 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","12:00 pm;16:00 pm","18:00 pm;19:00 pm","Si"
"2026/03/09 3:13:44 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am;13:00 pm;14:00 pm;15:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 3:15:28 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo","10:00 am","19:00 pm","Si"
"2026/03/09 3:16:47 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo","10:00 am","20:00 pm","Si"
"2026/03/09 3:17:01 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","09:00 am;10:00 am;13:00 pm;14:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 3:22:49 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;12:00 pm","14:00 pm;15:00 pm;16:00 pm;17:00 pm","Si"
"2026/03/09 3:28:39 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","10:00 am","16:00 pm","Si"
"2026/03/09 3:29:59 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am","20:00 pm","Si"
"2026/03/09 3:33:23 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo","12:00 pm","16:00 pm","Si"
"2026/03/09 3:34:40 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo","11:00 am","17:00 pm","Si"
"2026/03/09 3:36:47 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","12:00 pm;14:00 pm","17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 3:36:50 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","09:00 am;12:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 3:43:14 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am","18:00 pm","Si"
"2026/03/09 3:45:10 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","15:00 pm","20:00 pm","Si"
"2026/03/09 3:47:57 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","09:00 am;13:00 pm;16:00 pm;19:00 pm","10:00 am;13:00 pm;16:00 pm;20:00 pm","Si"
"2026/03/09 3:53:46 p. m. GMT-5","1 vez al mes","Refaccionaria Ancona Av 20 de Novembre","09:00 am;10:00 am;11:00 am;12:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/09 3:53:48 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;12:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/09 3:59:22 p. m. GMT-5","2 veces al mes","Bodega Aurrera Corales","10:00 am","14:00 pm","Si"
"2026/03/09 3:59:32 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am","10:00 am","Si"
"2026/03/09 3:59:47 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo","16:00 pm","20:00 pm","Si"
"2026/03/09 4:02:21 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;13:00 pm;16:00 pm;19:00 pm","10:00 am;12:00 pm;16:00 pm;19:00 pm","Si"
"2026/03/09 4:13:09 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;12:00 pm","14:00 pm;15:00 pm;16:00 pm;17:00 pm","Si"
"2026/03/09 4:29:00 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo;Bodega Aurrera Corales","10:00 am;14:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 4:32:33 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","09:00 am;10:00 am;11:00 am;13:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 4:35:40 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","09:00 am;10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm","10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 4:52:26 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am","10:00 am","Si"
"2026/03/09 5:00:59 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;12:00 pm;16:00 pm;19:00 pm","12:00 pm;15:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 5:01:02 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","10:00 am;11:00 am","18:00 pm;19:00 pm","Si"
"2026/03/09 5:22:14 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo","10:00 am","18:00 pm","Si"
"2026/03/09 5:31:33 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","09:00 am;10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm","10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 5:32:03 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","12:00 pm","16:00 pm","Si"
"2026/03/09 5:35:54 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am","16:00 pm","Si"
"2026/03/09 5:50:11 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","12:00 pm","17:00 pm","Si"
"2026/03/09 6:01:16 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am","16:00 pm;18:00 pm","Si"
"2026/03/09 6:04:56 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am;11:00 am;12:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 6:06:23 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am","17:00 pm","Si"
"2026/03/09 6:24:42 p. m. GMT-5","No voy a la playa","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","09:00 am","18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 6:32:07 p. m. GMT-5","1 vez al mes","Oxxo Rancho Nuevo","14:00 pm","18:00 pm","Si"
"2026/03/09 6:36:19 p. m. GMT-5","No voy a la playa","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;12:00 pm;15:00 pm","10:00 am;12:00 pm;14:00 pm;16:00 pm;17:00 pm;18:00 pm;20:00 pm","Si"
"2026/03/09 6:36:29 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","11:00 am;12:00 pm","16:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/09 6:44:35 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm","10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 6:46:31 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;11:00 am;12:00 pm;13:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 6:47:23 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am;11:00 am","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 6:48:07 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","09:00 am;10:00 am;11:00 am;12:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 6:53:32 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;11:00 am;14:00 pm;16:00 pm;19:00 pm","10:00 am;12:00 pm;15:00 pm;17:00 pm;20:00 pm","Si"
"2026/03/09 7:10:47 p. m. GMT-5","2 veces al mes","Oxxo Rancho Nuevo","09:00 am;12:00 pm;15:00 pm;17:00 pm","13:00 pm;16:00 pm;17:00 pm;20:00 pm","Si"
"2026/03/09 7:13:03 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am","13:00 pm","Si"
"2026/03/09 7:18:29 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am;11:00 am;12:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 7:30:31 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Bodega Aurrera Corales","09:00 am;12:00 pm;14:00 pm;17:00 pm","14:00 pm;16:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 7:35:39 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo","12:00 pm;14:00 pm;16:00 pm","13:00 pm;15:00 pm;17:00 pm","Si"
"2026/03/09 8:16:05 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;11:00 am;12:00 pm;13:00 pm","16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 8:16:56 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm","10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 8:35:45 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am","14:00 pm;17:00 pm","Si"
"2026/03/09 8:38:35 p. m. GMT-5","No voy a la playa","Oxxo Rancho Nuevo","09:00 am","10:00 am","Si"
"2026/03/09 8:45:53 p. m. GMT-5","1 vez al mes","Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","09:00 am;10:00 am;11:00 am;12:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 8:46:19 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","09:00 am;10:00 am;11:00 am;12:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 8:59:25 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;16:00 pm;19:00 pm","10:00 am;12:00 pm;17:00 pm;20:00 pm","Si"
"2026/03/09 9:07:11 p. m. GMT-5","No voy a la playa","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;12:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 9:09:18 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","10:00 am;12:00 pm;14:00 pm;17:00 pm","11:00 am;14:00 pm;16:00 pm;20:00 pm","Si"
"2026/03/09 9:10:44 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo","11:00 am","18:00 pm","Si"
"2026/03/09 9:16:02 p. m. GMT-5","4 veces al mes","Bodega Aurrera Corales","15:00 pm","20:00 pm","Si"
"2026/03/09 9:16:14 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","10:00 am;11:00 am;12:00 pm;14:00 pm;16:00 pm;17:00 pm;19:00 pm","11:00 am;12:00 pm;14:00 pm;15:00 pm;16:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 9:38:13 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","09:00 am;11:00 am;13:00 pm;15:00 pm","14:00 pm;16:00 pm;18:00 pm;20:00 pm","Si"
"2026/03/09 9:42:51 p. m. GMT-5","No voy a la playa","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am","10:00 am","Si"
"2026/03/09 9:48:11 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","12:00 pm","20:00 pm","Si"
"2026/03/09 9:48:23 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;11:00 am;13:00 pm;15:00 pm","13:00 pm;15:00 pm;17:00 pm;18:00 pm;20:00 pm","Si"
"2026/03/09 9:56:09 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;11:00 am;15:00 pm;17:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 10:03:33 p. m. GMT-5","4 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;11:00 am;12:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 10:12:02 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","10:00 am;12:00 pm;16:00 pm;19:00 pm","11:00 am;14:00 pm;16:00 pm;19:00 pm","Si"
"2026/03/09 10:16:45 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","09:00 am;10:00 am;12:00 pm;14:00 pm","16:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/09 10:31:40 p. m. GMT-5","4 veces al mes","Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","12:00 pm;15:00 pm","19:00 pm;20:00 pm","Si"
"2026/03/09 10:42:04 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am;11:00 am;12:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm","Si"
"2026/03/09 10:47:35 p. m. GMT-5","2 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am","16:00 pm","Si"
"2026/03/09 11:14:44 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am","17:00 pm","Si"
"2026/03/09 11:18:14 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","10:00 am","17:00 pm","Si"
"2026/03/09 11:23:12 p. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo","09:00 am;10:00 am;13:00 pm;15:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/10 12:01:37 a. m. GMT-5","No voy a la playa","Oxxo Rancho Nuevo","09:00 am;12:00 pm;16:00 pm;19:00 pm","10:00 am;14:00 pm;17:00 pm;20:00 pm","Si"
"2026/03/10 1:08:32 a. m. GMT-5","No voy a la playa","Refaccionaria Ancona Av 20 de Novembre;Bodega Aurrera Corales","16:00 pm;17:00 pm;18:00 pm;19:00 pm","17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/10 1:33:18 a. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","09:00 am;11:00 am;14:00 pm;17:00 pm","10:00 am;11:00 am;12:00 pm;13:00 pm;14:00 pm;15:00 pm;16:00 pm;17:00 pm;18:00 pm;19:00 pm;20:00 pm","Si"
"2026/03/10 6:33:54 a. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;12:00 pm;14:00 pm;17:00 pm","11:00 am;14:00 pm;18:00 pm;20:00 pm","Si"
"2026/03/10 8:27:15 a. m. GMT-5","3 veces al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Bodega Aurrera Corales","09:00 am;12:00 pm;15:00 pm","10:00 am;12:00 pm;16:00 pm","Si"
"2026/03/10 8:28:08 a. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo","10:00 am;11:00 am;12:00 pm;13:00 pm","15:00 pm;16:00 pm;17:00 pm;18:00 pm","Si"
"2026/03/10 8:42:20 a. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Refaccionaria Ancona Av 20 de Novembre","09:00 am;11:00 am;13:00 pm;15:00 pm","10:00 am;12:00 pm;14:00 pm;20:00 pm","Si"
"2026/03/10 8:45:54 a. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am;11:00 am;12:00 pm","19:00 pm;20:00 pm","Si"
"2026/03/10 9:14:36 a. m. GMT-5","1 vez al mes","Refaccionaria Ancona Av 20 de Novembre","10:00 am","18:00 pm","Si"
"2026/03/10 12:46:48 p. m. GMT-5","No voy a la playa","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am","16:00 pm","Si"
"2026/03/10 1:15:04 p. m. GMT-5","1 vez al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am","20:00 pm","Si"
"2026/03/10 1:28:26 p. m. GMT-5","2 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina;Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Bodega Aurrera Corales","09:00 am;11:00 am;14:00 pm;19:00 pm","14:00 pm;16:00 pm;18:00 pm;20:00 pm","Si"
"2026/03/10 2:38:13 p. m. GMT-5","4 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","10:00 am","18:00 pm","Si"
"2026/03/10 5:11:35 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","10:00 am","17:00 pm","Si"
"2026/03/10 5:45:08 p. m. GMT-5","1 vez al mes","Chedraui Arco Norte y Rancho Viejo;Oxxo Rancho Nuevo;Bodega Aurrera Corales","09:00 am;11:00 am;14:00 pm;17:00 pm;19:00 pm","10:00 am;14:00 pm;17:00 pm;20:00 pm","Si"
"2026/03/10 7:03:44 p. m. GMT-5","3 veces al mes","Santuario y Cuasi-Parroquia de San Pío de Pietrelcina","09:00 am;10:00 am;11:00 am;13:00 pm","14:00 pm;15:00 pm;16:00 pm;17:00 pm","Si"
"2026/03/10 9:02:16 p. m. GMT-5","1 vez al mes","Bodega Aurrera Corales","09:00 am","13:00 pm","Si"